City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Victoria,HK,22.2855,114.1577,85.32,87,47,1.01,scattered clouds
122,Vardo,NO,70.3705,31.1107,51.78,100,100,9.22,moderate rain
123,Dukat,RU,62.55,155.55,74.16,53,1,17.43,clear sky
124,Touros,BR,-5.1989,-35.4608,76.35,84,41,13.22,scattered clouds
125,Carnarvon,AU,-24.8667,113.6333,66.74,82,21,8.55,few clouds
126,Tuatapere,NZ,-46.1333,167.6833,43.75,87,82,3.94,broken clouds
127,Leningradskiy,RU,69.3833,178.4167,41.18,71,88,8.68,overcast clouds
128,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,80,75,6.91,light snow
129,Oktyabrskiy,RU,54.4815,53.471,70.25,81,74,4.9,broken clouds
130,Kumba,CM,4.6363,9.4469,70.36,99,100,1.28,overcast clouds
131,Fort Walton Beach,US,30.4058,-86.6188,84.04,84,0,5.01,clear sky
132,Haines Junction,CA,60.7522,-137.5108,55.35,67,99,2.3,overcast clouds
133,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,93,22,10.38,few clouds
134,Antofagasta,CL,-23.65,-70.4,61.88,76,73,4.47,broken clouds
135,Nanchang,CN,28.6833,115.8833,82.54,73,100,5.19,overcast clouds
136,Kaili,ID,-3.4626,120.2147,67.05,97,100,1.77,overcast clouds
137,Inuvik,CA,68.3499,-133.7218,47.26,100,100,10.36,overcast clouds
138,Solnechnyy,RU,50.7214,136.6319,66.49,93,90,3.02,overcast clouds
139,Pauini,BR,-7.7136,-66.9764,81.28,68,100,2.33,overcast clouds
140,Honiara,SB,-9.4333,159.95,81.9,70,50,5.03,scattered clouds
141,San Vicente,AR,-26.6167,-54.1333,53.89,79,0,3.13,clear sky
142,Lebu,CL,-37.6167,-73.65,44.96,78,100,0.45,overcast clouds
143,Yar-Sale,RU,66.8333,70.8333,51.01,80,100,9.06,overcast clouds
144,Hilo,US,19.7297,-155.09,82.27,91,100,11.5,heavy intensity rain
145,Jiazi,CN,22.8779,116.067,80.76,85,72,4.54,broken clouds
146,Jalalabad,AF,34.4265,70.4515,87.75,55,2,2.51,clear sky
147,Husavik,IS,66.0449,-17.3389,49.21,68,43,4.92,scattered clouds
148,Codrington,AU,-38.2667,141.9667,43.95,90,49,6.15,scattered clouds
149,Phek,IN,25.6667,94.5,59.45,98,25,2.06,scattered clouds
150,Mareeba,AU,-17.0,145.4333,52.45,57,4,1.97,clear sky
151,Nakhon Thai,TH,17.1006,100.8374,74.17,97,100,0.72,overcast clouds
152,Bluff,NZ,-46.6,168.3333,41.81,78,97,10.11,overcast clouds
153,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.55,29,8,3.13,clear sky
154,Abatskoye,RU,56.2875,70.4555,64.36,79,48,5.28,scattered clouds
155,Hondo,JP,32.45,130.2,79.9,91,82,8.1,broken clouds
156,Mitsamiouli,KM,-11.3847,43.2844,78.06,73,86,2.06,overcast clouds
157,Port Hedland,AU,-20.3167,118.5667,53.65,58,25,9.22,scattered clouds
158,Airai,TL,-8.9266,125.4092,52.09,87,46,3.6,scattered clouds
159,Krasnaya Gora,RU,52.9995,31.6023,54.18,98,100,4.25,overcast clouds
160,Leshukonskoye,RU,64.8989,45.7622,64.76,83,77,4.0,broken clouds
161,Alofi,NU,-19.0595,-169.9187,80.49,69,46,16.11,scattered clouds
162,Tambura,SS,5.6,27.4667,68.61,97,100,2.37,light rain
163,Stephenville,US,32.2207,-98.2023,105.93,24,40,3.0,scattered clouds
164,Egvekinot,RU,66.3167,-179.1667,48.36,80,97,4.38,overcast clouds
165,Terney,RU,45.0503,136.6092,63.19,98,100,9.57,overcast clouds
166,Sitka,US,57.0531,-135.33,57.09,82,75,4.61,light rain
167,Khatanga,RU,71.9667,102.5,43.59,82,100,8.84,overcast clouds
168,Nikolskoye,RU,59.7035,30.7861,67.8,69,51,4.36,broken clouds
169,Vaitape,PF,-16.5167,-151.75,78.48,72,20,19.06,light rain
170,Kruisfontein,ZA,-34.0033,24.7314,50.88,65,0,9.26,clear sky
171,Rapid City,US,44.0805,-103.231,95.74,42,0,10.36,clear sky
172,Mercedes,AR,-34.6515,-59.4307,54.03,57,95,8.93,overcast clouds
173,Jining,CN,35.405,116.5814,77.18,93,17,1.01,light rain
174,Isangel,VU,-19.55,169.2667,78.91,94,75,4.61,broken clouds
175,Astoria,US,46.1879,-123.8313,67.46,67,0,14.97,clear sky
176,Prichard,US,30.7388,-88.0789,89.76,74,40,13.8,thunderstorm
177,Cranbrook,CA,49.4999,-115.7688,87.64,19,75,10.36,broken clouds
178,Georgetown,MY,5.4112,100.3354,80.53,89,20,3.44,few clouds
179,Vila Velha,BR,-20.3297,-40.2925,75.15,88,20,14.0,few clouds
180,Listvyanskiy,RU,54.4399,83.4984,49.28,74,84,5.79,broken clouds
181,Bayonne,FR,43.3333,-1.4167,76.15,73,0,3.44,clear sky
182,Great Falls,US,47.5002,-111.3008,91.67,22,0,10.36,clear sky
183,Baturaja,ID,-4.1333,104.1667,73.0,99,98,1.32,overcast clouds
184,Kisangani,CD,0.5167,25.2,73.0,80,93,2.46,overcast clouds
185,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,40,8.05,scattered clouds
186,Mechetinskaya,RU,46.7713,40.456,70.14,56,7,7.43,clear sky
187,Pevek,RU,69.7008,170.3133,36.54,87,99,6.15,overcast clouds
188,Labuan,MY,5.2767,115.2417,73.76,100,40,11.5,scattered clouds
189,Malanje,AO,-9.5402,16.341,65.12,30,0,1.99,clear sky
190,Faanui,PF,-16.4833,-151.75,78.51,72,18,19.04,light rain
191,Marienburg,PL,54.0359,19.0266,67.12,80,0,9.8,clear sky
192,Urusha,RU,54.05,122.9,62.2,97,100,3.22,overcast clouds
193,Mahebourg,MU,-20.4081,57.7,65.25,76,76,14.52,light rain
194,Kouqian,CN,43.6391,126.4578,66.29,96,99,3.94,overcast clouds
195,Quatre Cocos,MU,-20.2078,57.7625,65.08,80,78,15.3,light rain
196,Masallatah,LY,32.6167,14.0,73.36,73,0,10.09,clear sky
197,Villa Rica,US,33.7321,-84.9191,85.35,64,82,10.18,broken clouds
198,Umm Lajj,SA,25.0213,37.2685,84.38,75,89,8.97,overcast clouds
199,Mezen,RU,65.8522,44.24,65.41,85,29,5.93,scattered clouds
200,Mount Gambier,AU,-37.8333,140.7667,47.91,84,56,1.7,broken clouds
201,Sangar,RU,63.9242,127.4739,65.7,85,97,7.27,overcast clouds
202,Hami,CN,42.8,93.45,76.26,33,88,14.92,overcast clouds
203,Salalah,OM,17.0151,54.0924,77.09,100,75,6.91,broken clouds
204,Corrente,BR,-3.7367,-43.3394,78.03,75,84,2.8,broken clouds
205,Ust-Kuyga,RU,70.0167,135.6,50.25,76,77,8.66,broken clouds
206,Sabang,ID,5.8933,95.3214,82.11,79,100,16.22,overcast clouds
207,Danielskuil,ZA,-28.1887,23.5395,51.55,47,0,6.58,clear sky
208,Sarkand,KZ,45.41,79.9186,59.7,45,11,4.83,few clouds
209,Port Macquarie,AU,-31.4333,152.9167,51.06,90,64,18.28,light rain
210,Sobolevo,RU,54.4299,31.8996,53.46,97,100,6.02,overcast clouds
211,Nioro,GM,13.35,-15.75,78.93,82,100,8.05,light rain
212,Mehamn,NO,71.0357,27.8492,55.35,94,100,2.3,light rain
213,Birao,CF,10.2849,22.7882,72.52,89,97,4.07,overcast clouds
214,Pangnirtung,CA,66.1451,-65.7125,44.6,93,75,12.66,broken clouds
215,Nakusp,CA,50.2499,-117.8023,86.34,20,52,4.61,broken clouds
216,Port Lincoln,AU,-34.7333,135.8667,50.02,79,3,4.81,clear sky
217,Sumenep,ID,-7.0167,113.8667,78.01,86,88,8.52,overcast clouds
218,Chavakkad,IN,10.5333,76.05,79.23,80,100,14.41,overcast clouds
219,Ahuimanu,US,21.4447,-157.8378,87.51,74,75,18.41,light rain
220,Labuhan,ID,-6.8844,112.2051,76.28,89,100,4.25,overcast clouds
221,Yumen,CN,40.2833,97.2,70.43,35,64,7.9,broken clouds
222,College,US,64.8569,-147.8028,64.47,65,75,8.05,smoke
223,Bandiagara,ML,14.3501,-3.6104,84.96,48,68,5.82,broken clouds
224,Pithoro,PK,25.5167,69.3833,86.83,71,6,9.95,clear sky
225,Mahon,ES,39.8885,4.2658,77.56,73,0,4.61,clear sky
226,La Ronge,CA,55.1001,-105.2842,89.82,23,20,20.71,few clouds
227,Tilichiki,RU,60.4667,166.1,68.32,67,17,4.9,few clouds
228,Saint-Augustin,CA,51.226,-58.6502,58.96,73,98,17.11,overcast clouds
229,Itamaraca,BR,-7.7478,-34.8256,78.85,80,70,12.19,broken clouds
230,Kapaa,US,22.0752,-159.319,84.52,69,40,16.11,scattered clouds
231,Kaseda,JP,31.4167,130.3167,80.92,91,99,6.85,overcast clouds
232,Erdenet,MN,49.0333,104.0833,56.48,69,100,2.98,overcast clouds
233,Tual,ID,-5.6667,132.75,79.16,81,87,26.02,overcast clouds
234,Kijang,KR,35.2442,129.2139,80.33,96,100,9.4,overcast clouds
235,Herat,AF,34.5,62.0,75.81,24,0,33.58,clear sky
236,Sisimiut,GL,66.9395,-53.6735,45.84,81,62,6.67,broken clouds
237,Itarema,BR,-2.9248,-39.9167,79.32,81,52,17.36,broken clouds
238,La Carolina,ES,38.2756,-3.6153,83.34,21,0,5.06,clear sky
239,Itainopolis,BR,-7.4469,-41.4783,81.21,53,100,8.21,overcast clouds
240,Naze,JP,28.3667,129.4833,79.72,86,99,9.44,overcast clouds
241,Kavieng,PG,-2.5744,150.7967,81.68,77,100,5.5,overcast clouds
242,San Patricio,US,28.017,-97.5169,98.55,38,16,16.13,few clouds
243,Codajas,BR,-3.8367,-62.0569,79.75,77,97,2.55,overcast clouds
244,Sinnamary,GF,5.3833,-52.95,76.01,91,100,5.91,overcast clouds
245,San Cristobal,VE,7.7669,-72.225,82.58,53,51,4.61,broken clouds
246,Harper,LR,4.375,-7.7169,76.06,80,100,11.25,overcast clouds
247,Morros,BR,-9.4467,-46.3003,82.2,34,34,4.94,scattered clouds
248,Aklavik,CA,68.2191,-135.0107,48.2,87,100,16.11,overcast clouds
249,Sur,OM,22.5667,59.5289,90.91,60,97,4.36,overcast clouds
