City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
204,Corrente,BR,78.03,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
207,Danielskuil,ZA,51.55,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
208,Sarkand,KZ,59.7,few clouds,45.41,79.9186,Гостиница Сарканд
209,Port Macquarie,AU,51.06,light rain,-31.4333,152.9167,Rydges Port Macquarie
212,Mehamn,NO,55.35,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
216,Port Lincoln,AU,50.02,clear sky,-34.7333,135.8667,Port Lincoln Hotel
217,Sumenep,ID,78.01,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
218,Chavakkad,IN,79.23,overcast clouds,10.5333,76.05,Rajah Island
220,Labuhan,ID,76.28,overcast clouds,-6.8844,112.2051,DoubleFAG
222,College,US,64.47,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
225,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
229,Itamaraca,BR,78.85,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
232,Erdenet,MN,56.48,overcast clouds,49.0333,104.0833,Erdenet hotel
233,Tual,ID,79.16,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
237,Itarema,BR,79.32,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
240,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
243,Codajas,BR,79.75,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
244,Sinnamary,GF,76.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
246,Harper,LR,76.06,overcast clouds,4.375,-7.7169,Screensaver
251,Anadyr,RU,55.9,broken clouds,64.75,177.4833,Отке17.ру — жильё для командированных
252,Magoula,GR,75.74,clear sky,38.0833,23.5167,Elefsina Hotel
255,Severo-Kurilsk,RU,54.45,overcast clouds,50.6789,156.125,Kak Doma
256,Sola,VU,79.47,few clouds,-13.8833,167.55,Leumerus Bungalows
257,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
258,Namibe,AO,62.92,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
259,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
261,Fairbanks,US,66.22,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
263,Resavica,RS,60.22,clear sky,44.0408,21.5816,Hotel Đula
266,Fomboni,KM,77.95,broken clouds,-12.28,43.7425,Auberge les abou
267,Ruteng,ID,57.52,overcast clouds,-8.6136,120.4721,Hotel FX 72
268,Batemans Bay,AU,52.11,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
269,Matara,LK,78.67,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
270,Urengoy,RU,50.4,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
271,Trairi,BR,78.69,broken clouds,-3.2778,-39.2689,janelas do mar
272,Saldanha,ZA,55.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
274,Curup,ID,67.8,overcast clouds,-3.4667,102.5333,Ayi The Costel
275,Channel-Port Aux Basques,CA,60.73,broken clouds,47.5702,-59.1367,St. Christopher's Hotel
277,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
279,Stara Synyava,UA,57.63,clear sky,49.6032,27.6191,Готель Стара Синява LEX
280,Binzhou,CN,74.73,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
284,Guerrero Negro,MX,74.44,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
285,Bonavista,CA,61.38,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
286,Nome,US,64.17,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
292,Uray,RU,66.2,broken clouds,60.1247,64.7758,Hotel Pioner
294,Poronaysk,RU,57.18,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
295,Derzhavinsk,KZ,69.03,clear sky,51.1,66.3167,Ooo.khim Baza
296,Mantua,IT,78.04,scattered clouds,45.1667,10.7833,Hotel la Favorita
297,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
300,Xingcheng,CN,72.03,clear sky,40.6167,120.7167,New Century Hotel
301,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
304,Vila Franca Do Campo,PT,69.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
306,Vanderhoof,CA,68.58,broken clouds,54.0166,-124.0198,Vanderhoof Inn
308,Rio Grande,BR,51.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
311,Marawi,PH,68.13,few clouds,7.9986,124.2928,Derogongan Residence
315,Moshkovo,RU,50.58,scattered clouds,55.3053,83.6104,Rubin
316,Wismar,DE,62.2,clear sky,53.9,11.4667,Townhouse Wismar a Vagabond Club
317,Hualmay,PE,63.59,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
318,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
