City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Port Alfred,ZA,2022-07-12 20:31:03,-33.5906,26.891,58.32,70,0,8.93
96,Dubai,AE,2022-07-12 20:30:02,25.2582,55.3047,93.13,70,0,2.3
97,Lebu,CL,2022-07-12 20:32:16,-37.6167,-73.65,49.87,86,97,7.38
98,Macaubas,BR,2022-07-12 20:32:17,-13.0194,-42.6986,75.36,51,11,7.99
99,Popova,RU,2022-07-12 20:32:17,42.9603,131.7228,62.76,97,99,7.83
100,Ornskoldsvik,SE,2022-07-12 20:32:18,63.2909,18.7153,63.55,63,73,4.61
101,Geraldton,AU,2022-07-12 20:28:00,-28.7667,114.6,50.41,81,0,5.75
102,Ribeira Grande,PT,2022-07-12 20:32:18,38.5167,-28.7,77.4,61,20,12.66
103,Arlit,NE,2022-07-12 20:32:18,18.7369,7.3853,96.17,22,60,3.62
104,Avarua,CK,2022-07-12 20:32:19,-21.2078,-159.775,77.05,61,75,6.91
105,Aljezur,PT,2022-07-12 20:32:19,37.3191,-8.8033,74.82,65,100,7.94
106,Tuatapere,NZ,2022-07-12 20:32:19,-46.1333,167.6833,42.91,95,100,7.27
107,Santo Antonio Do Ica,BR,2022-07-12 20:32:20,-3.1022,-67.9397,83.82,72,97,3.04
108,Batagay-Alyta,RU,2022-07-12 20:32:20,67.8006,130.4114,60.93,60,26,3.33
109,Panaba,MX,2022-07-12 20:32:20,21.2833,-88.2667,92.21,43,100,11.14
110,Chapais,CA,2022-07-12 20:32:21,49.7834,-74.8492,69.58,84,100,8.5
111,Mount Isa,AU,2022-07-12 20:31:07,-20.7333,139.5,46.17,49,4,0.0
112,Ust-Kuyga,RU,2022-07-12 20:32:21,70.0167,135.6,41.56,85,100,5.93
113,Butaritari,KI,2022-07-12 20:32:21,3.0707,172.7902,81.77,78,92,18.81
114,Karratha,AU,2022-07-12 20:32:22,-20.7377,116.8463,63.82,51,0,9.98
115,Broome,US,2022-07-12 20:32:22,42.2506,-75.833,87.66,50,20,13.8
116,Cabo San Lucas,MX,2022-07-12 20:32:23,22.8909,-109.9124,99.7,51,0,4.61
117,Clyde River,CA,2022-07-12 20:30:26,70.4692,-68.5914,44.83,70,20,9.22
118,Corning,US,2022-07-12 20:32:23,42.1428,-77.0547,89.64,40,40,18.41
119,Hithadhoo,MV,2022-07-12 20:32:23,-0.6,73.0833,82.63,75,100,11.27
120,Mahebourg,MU,2022-07-12 20:32:24,-20.4081,57.7,71.89,64,75,14.97
121,Masterton,NZ,2022-07-12 20:32:24,-40.9597,175.6575,55.89,78,23,18.5
122,Tiksi,RU,2022-07-12 20:32:24,71.6872,128.8694,35.55,96,100,9.62
123,Udachnyy,RU,2022-07-12 20:32:25,66.4167,112.4,50.45,93,0,5.26
124,Cidreira,BR,2022-07-12 20:32:25,-30.1811,-50.2056,52.12,73,100,13.71
125,General Roca,AR,2022-07-12 20:32:26,-39.0333,-67.5833,61.63,38,44,7.72
126,Chuy,UY,2022-07-12 20:32:26,-33.6971,-53.4616,44.82,75,43,5.73
127,Yokadouma,CM,2022-07-12 20:32:26,3.5167,15.05,68.9,93,100,2.48
128,Longyearbyen,SJ,2022-07-12 20:32:27,78.2186,15.6401,46.24,93,75,2.3
129,East London,ZA,2022-07-12 20:32:27,-33.0153,27.9116,58.91,72,0,8.9
130,Sao Jose Da Coroa Grande,BR,2022-07-12 20:30:54,-8.8978,-35.1478,75.9,83,92,5.73
131,Katsuura,JP,2022-07-12 20:32:27,35.1333,140.3,73.42,94,98,5.61
132,Susangerd,IR,2022-07-12 20:32:28,31.5608,48.1831,99.5,13,4,16.22
133,Dimitrovgrad,RU,2022-07-12 20:32:28,54.2139,49.6184,74.89,61,71,9.1
134,Mopipi,BW,2022-07-12 20:32:29,-21.1833,24.8833,58.82,36,2,7.92
135,Srednekolymsk,RU,2022-07-12 20:32:29,67.45,153.6833,72.07,50,26,6.06
136,Berlevag,NO,2022-07-12 20:33:29,70.8578,29.0864,67.95,60,0,11.5
137,Sayville,US,2022-07-12 20:33:30,40.7359,-73.0821,85.64,78,20,20.71
138,Kapoeta,SS,2022-07-12 20:33:30,4.7717,33.5903,80.78,42,61,13.96
139,Lulea,SE,2022-07-12 20:33:31,65.5842,22.1547,64.47,77,0,3.44
140,Fare,PF,2022-07-12 20:33:31,-16.7,-151.0167,78.12,69,5,9.22
141,Maiduguri,NG,2022-07-12 20:33:31,11.8464,13.1603,87.57,49,100,11.92
142,San Ignacio,BZ,2022-07-12 20:33:32,17.1561,-89.0714,89.74,70,40,4.61
143,Marawi,PH,2022-07-12 20:33:32,7.9986,124.2928,68.83,93,41,2.19
144,Camacha,PT,2022-07-12 20:33:32,33.0833,-16.3333,65.62,77,20,9.22
145,Bhainsdehi,IN,2022-07-12 20:33:33,21.6467,77.6325,70.66,97,100,12.44
146,Salisbury,GB,2022-07-12 20:32:18,51.0693,-1.7957,75.97,62,75,4.61
147,Viedma,AR,2022-07-12 20:33:34,-40.8135,-62.9967,53.15,39,5,15.57
148,Severo-Kurilsk,RU,2022-07-12 20:32:16,50.6789,156.125,54.81,91,62,1.41
149,Saint-Philippe,RE,2022-07-12 20:33:34,-21.3585,55.7679,69.39,74,30,11.05
150,Seljord,NO,2022-07-12 20:29:10,59.4894,8.634,66.4,75,25,3.4
151,Pelym,RU,2022-07-12 20:33:34,61.0108,61.9978,63.07,95,100,5.1
152,Laguna,US,2022-07-12 20:32:31,38.421,-121.4238,99.32,33,0,11.5
153,Moerai,PF,2022-07-12 20:33:35,-22.4333,-151.3333,72.07,69,93,13.73
154,Okha,RU,2022-07-12 20:33:35,53.5739,142.9478,58.8,76,0,11.61
155,Kindersley,CA,2022-07-12 20:33:36,51.4668,-109.1682,84.22,42,20,12.66
156,Ahipara,NZ,2022-07-12 20:33:36,-35.1667,173.1667,59.02,83,96,11.21
157,Namanga,KE,2022-07-12 20:33:36,-2.5433,36.7905,60.03,78,93,6.6
158,Kodiak,US,2022-07-12 20:33:37,57.79,-152.4072,56.71,88,100,4.61
159,Bay City,US,2022-07-12 20:33:02,43.5945,-83.8889,77.11,71,100,14.97
160,High Rock,BS,2022-07-12 20:33:37,26.6208,-78.2833,89.62,71,43,10.36
161,Hue,VN,2022-07-12 20:33:38,16.4667,107.6,78.91,94,20,2.3
162,Baruun-Urt,MN,2022-07-12 20:33:38,46.6806,113.2792,56.34,93,84,6.78
163,Les Cayes,HT,2022-07-12 20:33:39,18.2,-73.75,85.46,64,57,11.27
164,Codrington,AU,2022-07-12 20:33:39,-38.2667,141.9667,50.31,74,39,10.76
165,Khatanga,RU,2022-07-12 20:29:51,71.9667,102.5,37.44,95,100,10.94
166,Fairbanks,US,2022-07-12 20:28:52,64.8378,-147.7164,73.22,70,75,3.44
167,Ode,NG,2022-07-12 20:33:40,7.7899,5.7117,69.94,98,69,7.65
168,Pitimbu,BR,2022-07-12 20:33:40,-7.4706,-34.8086,79.39,80,64,9.66
169,Chateau-Gontier,FR,2022-07-12 20:33:40,47.8333,-0.7,83.12,31,87,7.99
170,Ostrovnoy,RU,2022-07-12 20:33:41,68.0531,39.5131,57.16,97,100,4.88
171,Muravlenko,RU,2022-07-12 20:33:41,63.7898,74.523,54.86,55,99,7.29
172,Zhangjiakou,CN,2022-07-12 20:33:41,40.81,114.8794,65.66,91,21,2.57
173,Loikaw,MM,2022-07-12 20:33:42,19.6742,97.2094,68.0,98,99,1.43
174,Mahanoro,MG,2022-07-12 20:33:42,-19.9,48.8,64.74,92,61,5.5
175,Oranjemund,NA,2022-07-12 20:33:43,-28.55,16.4333,54.57,88,0,9.6
176,Udimskiy,RU,2022-07-12 20:33:43,61.1417,45.9144,61.65,95,100,5.1
177,La Ronge,CA,2022-07-12 20:33:44,55.1001,-105.2842,77.25,36,20,8.05
178,Hays,US,2022-07-12 20:34:44,30.0502,-98.0336,107.55,32,12,1.99
179,Herat,AF,2022-07-12 20:34:45,34.5,62.0,74.34,27,0,31.81
180,Richards Bay,ZA,2022-07-12 20:34:45,-28.783,32.0377,64.81,85,28,5.99
181,Nanortalik,GL,2022-07-12 20:34:45,60.1432,-45.2371,42.96,85,34,9.15
182,Camargo,MX,2022-07-12 20:34:46,27.6667,-105.1667,93.6,22,43,15.3
183,Teahupoo,PF,2022-07-12 20:34:46,-17.8333,-149.2667,75.16,81,60,16.04
184,Puerto Madero,MX,2022-07-12 20:34:47,14.7208,-92.4215,88.0,74,75,5.75
185,Makat,KZ,2022-07-12 20:34:47,47.6469,53.3463,89.15,26,51,9.93
186,Beidao,CN,2022-07-12 20:34:47,34.5686,105.8933,67.73,97,100,0.83
187,Poum,NC,2022-07-12 20:34:48,-20.2333,164.0167,74.93,87,98,14.36
188,Jalu,LY,2022-07-12 20:34:48,29.0331,21.5482,79.93,54,0,17.11
189,Bambous Virieux,MU,2022-07-12 20:33:44,-20.3428,57.7575,71.85,64,75,14.97
190,San Javier,ES,2022-07-12 20:34:48,37.8063,-0.8374,83.46,62,0,5.75
191,Ancud,CL,2022-07-12 20:34:49,-41.8697,-73.8203,41.23,70,93,12.84
192,Henniker,US,2022-07-12 20:34:49,43.1798,-71.8223,89.2,62,86,11.7
193,Lakes Entrance,AU,2022-07-12 20:34:50,-37.8811,147.981,44.17,90,67,11.1
194,Manaus,BR,2022-07-12 20:32:38,-3.1019,-60.025,91.9,58,20,10.36
195,Yulara,AU,2022-07-12 20:34:51,-25.2406,130.9889,42.89,75,0,8.52
196,Manakara,MG,2022-07-12 20:34:51,-22.1333,48.0167,63.5,92,8,4.0
197,Nouadhibou,MR,2022-07-12 20:34:52,20.931,-17.0347,71.58,83,40,20.71
198,Cullman,US,2022-07-12 20:32:39,34.1748,-86.8436,92.44,55,75,1.01
199,Kirakira,SB,2022-07-12 20:34:52,-10.4544,161.9205,80.89,79,57,10.78
200,Elko,US,2022-07-12 20:34:53,41.0002,-115.5012,96.75,15,27,8.01
201,Kaoma,ZM,2022-07-12 20:34:53,-14.7833,24.8,61.0,46,1,9.42
202,Babu,CN,2022-07-12 20:34:53,24.4167,111.5167,78.15,89,1,2.21
203,Nantucket,US,2022-07-12 20:34:54,41.2835,-70.0995,78.91,83,0,18.41
204,Victoria,HK,2022-07-12 20:30:26,22.2855,114.1577,85.32,80,8,4.0
205,Grindavik,IS,2022-07-12 20:34:54,63.8424,-22.4338,52.27,71,75,14.97
206,Portland,US,2022-07-12 20:32:45,45.5234,-122.6762,92.61,39,0,10.36
207,Daru,PG,2022-07-12 20:34:55,-9.0763,143.2092,77.43,83,82,13.47
208,Banes,CU,2022-07-12 20:34:55,20.9625,-75.7186,87.13,61,95,12.03
209,Tulum,MX,2022-07-12 20:34:56,20.2167,-87.4667,86.02,65,100,6.96
210,Lompoc,US,2022-07-12 20:34:56,34.6391,-120.4579,85.78,64,0,14.97
